yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
Cambon_ParfaitInd_1830,4da753a3-9a48-45c8-a2f1-bbb0970292cc,/tmp/tmpyr6_ad0f/Cambon_ParfaitInd_1830.xml,"{""uuid"": ""4da753a3-9a48-45c8-a2f1-bbb0970292cc"", ""associatedResource"": [{""value"": ""37fdc218-6317-4995-931c-e63282d69b98"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_ParfaitInd_1830_ex1,8c1a0723-abec-456a-838d-37db1c08fdc4,/tmp/tmpyr6_ad0f/Cambon_ParfaitInd_1830_ex1.xml,"{""uuid"": ""8c1a0723-abec-456a-838d-37db1c08fdc4"", ""resourceLineage"": [""4da753a3-9a48-45c8-a2f1-bbb0970292cc""]}"
Cambon_ParfaitInd_1831,49c7c078-6fd0-4f3b-a7d1-8c09ec9a5a24,/tmp/tmpyr6_ad0f/Cambon_ParfaitInd_1831.xml,"{""uuid"": ""49c7c078-6fd0-4f3b-a7d1-8c09ec9a5a24"", ""associatedResource"": [{""value"": ""37fdc218-6317-4995-931c-e63282d69b98"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_ParfaitInd_1831_ex1,fe2e3d21-d4b3-4e06-9fff-e570d94aab0d,/tmp/tmpyr6_ad0f/Cambon_ParfaitInd_1831_ex1.xml,"{""uuid"": ""fe2e3d21-d4b3-4e06-9fff-e570d94aab0d"", ""resourceLineage"": [""49c7c078-6fd0-4f3b-a7d1-8c09ec9a5a24""]}"
Cambon_alm_1833,f8829e6c-0d95-40d0-b938-30962e6c954c,/tmp/tmpyr6_ad0f/Cambon_alm_1833.xml,"{""uuid"": ""f8829e6c-0d95-40d0-b938-30962e6c954c"", ""associatedResource"": [{""value"": ""d7f9a299-dc7f-4794-a6ec-ea08d03ab600"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_alm_1833_ex1,2ee2bac9-5754-4453-8cb4-9d43deacb080,/tmp/tmpyr6_ad0f/Cambon_alm_1833_ex1.xml,"{""uuid"": ""2ee2bac9-5754-4453-8cb4-9d43deacb080"", ""resourceLineage"": [""f8829e6c-0d95-40d0-b938-30962e6c954c""]}"
Cambon_alm_1834,a94c7d1a-d1b3-4a2c-ad7f-c066a163bf54,/tmp/tmpyr6_ad0f/Cambon_alm_1834.xml,"{""uuid"": ""a94c7d1a-d1b3-4a2c-ad7f-c066a163bf54"", ""associatedResource"": [{""value"": ""d7f9a299-dc7f-4794-a6ec-ea08d03ab600"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_alm_1834_ex1,b25605cc-3eeb-4cdd-b798-fa59f02d5062,/tmp/tmpyr6_ad0f/Cambon_alm_1834_ex1.xml,"{""uuid"": ""b25605cc-3eeb-4cdd-b798-fa59f02d5062"", ""resourceLineage"": [""a94c7d1a-d1b3-4a2c-ad7f-c066a163bf54""]}"
Cambon_alm_1835,44ba2159-e80a-4c92-9c37-9fd0db2d33e4,/tmp/tmpyr6_ad0f/Cambon_alm_1835.xml,"{""uuid"": ""44ba2159-e80a-4c92-9c37-9fd0db2d33e4"", ""associatedResource"": [{""value"": ""d7f9a299-dc7f-4794-a6ec-ea08d03ab600"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_alm_1835_ex1,d9f70029-8d65-4fe6-a7ec-616eef4186a0,/tmp/tmpyr6_ad0f/Cambon_alm_1835_ex1.xml,"{""uuid"": ""d9f70029-8d65-4fe6-a7ec-616eef4186a0"", ""resourceLineage"": [""44ba2159-e80a-4c92-9c37-9fd0db2d33e4""]}"
Cambon_alm_1836,d6781c73-410c-4521-80bb-454f4d95e91e,/tmp/tmpyr6_ad0f/Cambon_alm_1836.xml,"{""uuid"": ""d6781c73-410c-4521-80bb-454f4d95e91e"", ""associatedResource"": [{""value"": ""d7f9a299-dc7f-4794-a6ec-ea08d03ab600"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_alm_1836_ex1,fef56213-d398-4fd0-ac58-ebde7ecd225c,/tmp/tmpyr6_ad0f/Cambon_alm_1836_ex1.xml,"{""uuid"": ""fef56213-d398-4fd0-ac58-ebde7ecd225c"", ""resourceLineage"": [""d6781c73-410c-4521-80bb-454f4d95e91e""]}"
Cambon_almgene_1837,8c1d35a3-9aef-45bd-a94c-d5bfa4ad9dea,/tmp/tmpyr6_ad0f/Cambon_almgene_1837.xml,"{""uuid"": ""8c1d35a3-9aef-45bd-a94c-d5bfa4ad9dea"", ""associatedResource"": [{""value"": ""aeff182f-72b6-44bd-880b-9d28e4b2792b"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_almgene_1837_ex1,f7875015-7466-4615-a05b-71bd10e8a8f7,/tmp/tmpyr6_ad0f/Cambon_almgene_1837_ex1.xml,"{""uuid"": ""f7875015-7466-4615-a05b-71bd10e8a8f7"", ""resourceLineage"": [""8c1d35a3-9aef-45bd-a94c-d5bfa4ad9dea""]}"
Cambon_almgene_1838,09fd6f95-9f1a-48b3-9477-9b17d89df679,/tmp/tmpyr6_ad0f/Cambon_almgene_1838.xml,"{""uuid"": ""09fd6f95-9f1a-48b3-9477-9b17d89df679"", ""associatedResource"": [{""value"": ""aeff182f-72b6-44bd-880b-9d28e4b2792b"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Cambon_almgene_1838_ex1,4b5eb3eb-89aa-4544-abcf-4b52be80782f,/tmp/tmpyr6_ad0f/Cambon_almgene_1838_ex1.xml,"{""uuid"": ""4b5eb3eb-89aa-4544-abcf-4b52be80782f"", ""resourceLineage"": [""09fd6f95-9f1a-48b3-9477-9b17d89df679""]}"
Cambon_almgene_1839,23d76d20-68a4-4f4f-9b5f-d5bd2fbf0cf8,/tmp/tmpyr6_ad0f/Cambon_almgene_1839.xml,"{""uuid"": ""23d76d20-68a4-4f4f-9b5f-d5bd2fbf0cf8"", ""associatedResource"": [{""value"": ""aeff182f-72b6-44bd-880b-9d28e4b2792b"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
